key,name,notes,hours,kind,key:audit-report
# base entity,"","","",""
section-00,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",250,PRELIMINARY,report-01
# name - standard variations,"","","","","",""
section-01,L,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",250,PRELIMINARY,report-01
section-02,Lo,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",250,PRELIMINARY,report-01
section-03,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",250,PRELIMINARY,report-01
section-04,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",250,PRELIMINARY,report-01
section-05,โลเร็ม อิปซัม,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",250,PRELIMINARY,report-01
section-06,لوريم إيبسوم,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",250,PRELIMINARY,report-01
section-07,洛伦·伊普森,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",250,PRELIMINARY,report-01
section-08,<marquee>Hacked</marquee>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",250,PRELIMINARY,report-01
section-09,<script>alert(‘Hacked!’);</script>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",250,PRELIMINARY,report-01
section-10,' or 'A' = 'A,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",250,PRELIMINARY,report-01
# name - singular values,"","",""
section-11,😃,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",250,PRELIMINARY,report-01
# notes - standard variations,""
section-12,"Lorem ipsum dolor sit amet, consectetur adipiscing",L,250,PRELIMINARY,report-01
section-13,"Lorem ipsum dolor sit amet, consectetur adipiscing",Lo,250,PRELIMINARY,report-01
section-14,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",250,PRELIMINARY,report-01
section-15,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",250,PRELIMINARY,report-01
section-16,"Lorem ipsum dolor sit amet, consectetur adipiscing",โลเร็ม อิปซัม,250,PRELIMINARY,report-01
section-17,"Lorem ipsum dolor sit amet, consectetur adipiscing",لوريم إيبسوم,250,PRELIMINARY,report-01
section-18,"Lorem ipsum dolor sit amet, consectetur adipiscing",洛伦·伊普森,250,PRELIMINARY,report-01
section-19,"Lorem ipsum dolor sit amet, consectetur adipiscing",<marquee>Hacked</marquee>,250,PRELIMINARY,report-01
section-20,"Lorem ipsum dolor sit amet, consectetur adipiscing",<script>alert(‘Hacked!’);</script>,250,PRELIMINARY,report-01
section-21,"Lorem ipsum dolor sit amet, consectetur adipiscing",' or 'A' = 'A,250,PRELIMINARY,report-01
# notes - singular values
section-22,"Lorem ipsum dolor sit amet, consectetu",😃,250,PRELIMINARY,report-01
# hours - standard variations,""
section-23,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",0,PRELIMINARY,report-01
section-24,"Lorem ipsum dolor sit amet, consectetu","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",1,PRELIMINARY,report-01
